,source,sink
0,765601,2006214
1,1750842,4144037
2,1973082,229375
3,3361377,1542427
4,4230144,1246469
5,4451122,2308733
6,3638272,3341535
7,259575,1079589
8,386424,1552098
9,2405789,4024272
10,2031305,4814506
11,4730895,4206960
12,2897926,4268881
13,4011264,2119885
14,1331940,448664
15,4189798,1464505
16,1250021,3200363
17,2851109,4386837
18,307250,2576891
19,4563180,1206697
20,2439199,4819179
21,2940588,4734491
22,3672238,4368927
23,687713,1526868
24,1250021,3301507
25,2436470,141139
26,3930937,4336229
27,1249227,499201
28,940526,1825755
29,3438576,4785781
30,2260014,2307163
31,276216,4484330
32,1927211,3946088
33,2150686,2289711
34,1769943,3569239
35,4208653,3131975
36,4730895,4067429
37,2806428,2224025
38,4176629,2125961
39,502082,2398383
40,1436216,249106
41,3380826,4439956
42,372359,3235479
43,4653267,3108738
44,2368306,4313278
45,3043130,838061
46,1637447,1882005
47,2718229,3505068
48,4594361,1249442
49,1172155,671002
50,3294702,3084928
51,2793437,648147
52,2827436,3961866
53,1654099,2581135
54,1653998,815261
55,2281149,3941364
56,1557086,1877681
57,3280389,1281188
58,3501482,4458432
59,3361377,81846
60,755739,904388
61,4416945,4557959
62,4372648,2360987
63,3072769,4596505
64,3638272,4570920
65,1763353,1798696
66,2938068,3696906
67,1187669,671026
68,3518336,253031
69,3361377,4253818
70,2161375,2689638
71,2405789,2560866
72,3361377,1235507
73,3638272,3394313
74,2119707,4157069
75,3509903,4197022
76,1580988,4749646
77,2827436,928023
78,4074014,2638587
79,4249273,2096270
80,2745133,4577134
81,3787323,3182024
82,2667980,1745117
83,3112136,1408368
84,3873768,2418739
85,4208653,3240851
86,2883055,4167335
87,3509903,4122772
88,225865,2264750
89,1968010,1629350
90,3023064,2363489
91,4672596,532229
92,30224,1039142
93,4547539,276853
94,465946,1445225
95,4209323,2650589
96,2285283,2340455
97,708118,958580
98,2516076,3438652
99,522588,4422121
100,4433539,4013715
101,2727581,3124541
102,2981537,1285776
103,2994391,2140144
104,3280389,3465856
105,1196844,1853795
106,502082,2010377
107,3742930,2418513
108,419362,1561734
109,2050190,874604
110,3242275,149759
111,4319972,1648831
112,1839283,3876832
113,3765475,2205403
114,708440,530659
115,4435044,80983
116,2050190,1474600
117,2882832,4655554
118,3395938,2779547
119,2765055,4839428
120,439557,2573925
121,2911269,4355259
122,3898535,2545442
123,3767985,1404485
124,3705070,216035
125,3989108,4614980
126,3353651,1989014
127,4708835,3699242
128,2777273,1063893
129,4451491,4176284
130,2827436,3971239
131,3361377,2878674
132,3765475,2743390
133,4360960,3758692
134,2064376,878494
135,2827436,245181
136,427805,938085
137,3844858,4634346
138,3105613,2973645
139,1966548,2550746
140,3650069,1779528
141,1250021,155065
142,4360960,338956
143,2212117,2854252
144,62567,4209902
145,2281149,4375885
146,4649206,2035508
147,957197,201128
148,1580988,830537
149,429643,4706070
150,203830,369412
151,4708541,313439
152,4408813,2159529
