x1,x2,x3,x4,x5,y,x6,x7,x8,x9
59,0,57,0,60,1,101514,71,5.8235715026980515,0.0005899705014749262
2,2,2,2,2,1,222,36,0.19904037195721486,0.00198609731876862
19,0,11,0,19,1,18915,40,2.3259113549608457,0.0009982661692849262
1,0,1,0,1,1,764195,2,0.09298494802351287,1.3112037112309842e-06
0,0,0,0,0,1,4435,1,0.0,0.0
37,0,36,0,38,1,41671,44,3.4164954615487813,0.0009086561453849832
0,0,0,0,0,1,383713,2,0.0,0.0
0,0,0,0,0,1,13950,3,0.0,0.0
13,0,13,0,13,1,7871,89,1.1787267448664358,0.0016337815759708432
41,0,40,0,41,1,93391,48,3.7791922628322623,0.00043891107233468577
50,0,65,0,71,1,23437,144,6.917607181592684,0.00300732771400737
41,0,37,0,41,1,1911,129,3.828060821638032,0.020469296055916127
88,0,86,0,88,1,25985,132,8.611587187194326,0.0033735863523097565
27,0,27,0,27,1,116782,30,2.4669768845075635,0.0002311624044314689
18,0,20,0,20,1,32617,27,1.8891076310739534,0.0006118827632625587
7,0,4,0,7,1,1874,16,0.8616828254526139,0.003686150605581885
12,0,12,0,13,1,85916,16,1.1606485692099764,0.0001485391743507124
5,0,4,0,5,1,98554,7,0.3898024422517429,5.071662592431051e-05
1,0,1,0,1,1,35588,12,0.15315298723678528,2.7893224735711688e-05
66,171,74,74,180,1,799,685,28.366424499380138,0.028781579788935082
3,0,4,0,4,1,5929,7,0.41965981876964287,0.0006563833278634722
30,0,29,0,30,1,9478,147,2.8731412531064264,0.003125
32,0,33,0,34,1,12172,49,3.45663642112418,0.0027730201451757605
0,0,0,0,0,1,47169,1,0.0,0.0
11,0,14,0,14,1,85916,43,2.0608487134906004,0.00015991775658232907
33,0,36,0,36,1,2248,121,3.549751231589033,0.015319148936170212
45,0,51,0,51,1,8777,151,5.03506364334727,0.0057316250842886045
45,0,44,0,45,1,7424,92,5.610195489090863,0.006023290054878865
0,0,0,0,0,1,20786,1,0.0,0.0
1,0,2,0,2,1,137761,5,0.24073301950320714,1.44897086844069e-05
1,0,1,0,1,1,98625,2,0.12329350107863749,1.0126377187297473e-05
53,0,54,0,55,1,12601,91,5.188455782950525,0.0043505774402784365
8,0,8,0,9,1,113327,11,0.8215437684710765,7.93958855287766e-05
8,12,7,3,17,1,983,149,2.945177285492523,0.013406940063091484
84,0,77,0,85,1,7901,139,8.413094663922175,0.010671688637790331
4,0,4,0,4,1,21104,6,0.538485896993406,0.00018829732147060207
10,0,9,0,10,1,1911,54,0.8658818461383658,0.0051046452271567115
21,0,22,0,22,1,4940,148,2.039171865150977,0.004337539432176656
2,0,2,0,2,1,1535,10,0.18303249694058388,0.0012953367875647669
18,0,18,0,18,1,16429,25,1.6120995674009109,0.001094291446288528
33,0,32,0,33,1,68772,59,3.060264964645279,0.0004792680270132888
7,0,7,0,10,1,665,56,1.1686918315545813,0.011737089201877934
36,278,34,33,280,1,1323,999,50.40989859752958,0.004141399201301583
1,0,1,0,1,1,2557,8,0.07378498417031162,0.0003883495145631068
53,0,46,0,53,1,1441,382,4.960812118069482,0.02992659514398645
16,0,16,0,17,1,1773,26,1.5914812881654874,0.00913978494623656
23,0,24,0,24,1,8550,83,2.5470769368746913,0.0027813188086684435
23,113,22,22,116,1,328,167,29.467488735906464,0.039986211651154784
4,0,4,0,4,1,3448,15,0.5513887331464171,0.0011497556769186547
4,0,7,0,8,1,135,39,1.0280157301913309,0.04395604395604396
83,0,80,0,83,1,68892,117,8.508952422925674,0.0012041375908543573
3,0,3,0,3,1,25447,11,0.30450737249809057,0.00011762399529504021
85,0,84,0,90,1,280325,274,9.313847506350067,0.00033089208506132534
61,0,66,0,66,1,26349,131,6.481759215552302,0.002492447129909365
2,0,2,0,3,1,1986,243,0.3530851175347225,0.0013422818791946306
10,0,10,0,10,1,28084,20,0.9409981537600715,0.00035592255125284735
5,29,10,18,39,1,571,166,7.354644056894632,0.015847216578626575
0,0,1,0,1,1,422106,2,0.08340686705490902,2.4264718371546227e-06
2,0,2,0,2,1,28047,3,0.18092380928184026,7.100003550001775e-05
0,0,0,0,0,1,764195,3,0.0,0.0
6,0,6,0,6,1,58046,7,0.5943259993142744,0.00010333781130515655
16,0,17,0,17,1,33229,35,1.6414462893975186,0.0005106178475955907
15,0,15,0,15,1,3150,44,1.3283502098445124,0.004714016341923318
10,0,10,0,10,1,3430,53,0.9757246584573807,0.0028595939376608523
0,0,1,0,1,1,383713,2,0.2044843780639489,2.690544350933081e-06
0,0,0,0,0,1,10073,1,0.0,0.0
85,0,84,0,92,1,4178,99,10.640065859811543,0.0219256434699714
52,84,53,49,92,1,514,421,13.869845275212093,0.010681527922907231
1,0,1,0,1,1,683,61,0.08643681023334286,0.001345895020188425
0,0,0,0,0,1,764195,1,0.0,0.0
1,0,0,0,1,1,2492,28,0.08761407993292991,0.0003961965134706815
204,0,197,0,206,1,93391,299,20.861478903608443,0.002203232120129627
0,0,0,0,0,1,764195,1,0.0,0.0
2,0,2,0,2,1,383713,6,0.1760908212797644,5.3810452680433165e-06
7,0,6,0,7,1,1567,42,0.6148585224154296,0.004355942750466709
2,0,1,0,2,1,511816,5,0.15697258042244144,3.92393067984061e-06
2,0,1,0,2,1,414420,3,0.15097158386320914,4.9939573116529e-06
0,0,0,0,0,1,280325,1,0.0,0.0
4,0,1,0,4,1,1110,223,0.3857666890139846,0.003009781790820165
110,488,102,72,537,1,3063,970,101.47165409720931,0.01858131487889273
56,0,65,0,74,1,2347,250,8.318119566449216,0.029030992546096507
0,0,1,0,1,1,50,46,0.1463941459978874,0.010416666666666666
44,0,44,0,45,1,1609,132,4.994590689641922,0.026455026455026454
18,0,20,0,20,1,41367,38,1.8695067945743924,0.0004827186715582159
13,0,13,0,13,1,35426,17,1.1717456946656994,0.0003667757589436858
4,0,4,0,4,1,21104,10,0.3884930663855474,0.00018826187226431967
0,0,0,0,0,1,13199,1,0.0,0.0
46,0,46,0,48,1,511816,91,4.8359132842201396,9.416694622478828e-05
0,0,0,0,0,1,23,53,0.0,0.0
15,0,15,0,15,1,10371,20,1.5158019119948212,0.001434445825762647
11,0,11,0,13,1,426,279,1.273037577367406,0.01825842696629213
23,0,22,0,23,1,3286,105,2.237485147150183,0.006804733727810651
91,0,81,0,95,1,4175,147,10.823483346031804,0.02240037726951191
49,0,51,0,51,1,3195,100,4.779465719176568,0.01567301782421635
22,11,18,9,24,1,1468,138,3.5116853119691234,0.01458966565349544
26,0,26,0,26,1,89464,31,2.504222829222205,0.00029057097195990116
